Name,Span,Matches,Innings,Not Outs,Runs,Highest Score,Average,BF,Strike Rate,Hundreds,Fifties,Ducks,Fours,Sixes
RG Sharma (IND),2007-2024,159,151,19,4231,121*,32.05,3003,140.89,5,32,12,383,205
Babar Azam (PAK),2016-2024,128,121,15,4223,122,39.83,3268,129.22,3,36,7,447,73
V Kohli (IND),2010-2024,125,117,31,4188,122*,48.69,3056,137.04,1,38,7,369,124
PR Stirling (IRE),2009-2024,147,146,11,3655,115*,27.07,2710,134.87,1,24,13,425,129
MJ Guptill (NZ),2009-2022,122,118,7,3531,105,31.81,2602,135.70,2,20,3,309,173
Mohammad Rizwan (PAK),2015-2024,106,93,21,3414,104*,47.41,2723,125.37,1,30,5,285,95
JC Buttler (ENG),2011-2024,129,118,23,3389,101*,35.67,2305,147.02,1,25,8,310,146
DA Warner (AUS),2009-2024,110,110,12,3277,100*,33.43,2300,142.47,1,28,6,337,122
AJ Finch (AUS),2011-2022,103,103,12,3120,172,34.28,2189,142.53,2,19,8,309,125
GJ Maxwell (AUS),2012-2024,116,106,17,2664,145*,29.93,1719,154.97,5,11,4,224,137
DA Miller (SA/World),2010-2024,130,114,36,2591,106*,33.21,1842,140.66,2,8,3,168,130
Q de Kock (SA),2012-2024,92,91,9,2584,100,31.51,1868,138.32,1,16,7,264,103
KS Williamson (NZ),2011-2024,93,90,13,2575,95,33.44,2092,123.08,0,18,4,245,58
SA Yadav (IND),2021-2024,78,74,11,2570,117,40.79,1531,167.86,4,21,3,233,145
Shakib Al Hasan (BAN),2006-2024,129,127,17,2551,84,23.19,2105,121.18,0,13,9,258,53
Muhammad Waseem (UAE),2021-2024,69,69,5,2515,112,39.29,1617,155.53,3,20,5,194,158
Mohammad Hafeez (PAK),2006-2021,119,108,13,2514,99*,26.46,2060,122.03,0,14,7,251,76
EJG Morgan (ENG),2009-2022,115,107,21,2458,91,28.58,1805,136.17,0,14,3,186,120
Mahmudullah (BAN),2007-2024,141,130,26,2444,64*,23.50,2082,117.38,0,8,5,184,77
Virandeep Singh (MAS),2019-2024,84,82,16,2441,116*,36.98,1937,126.01,1,16,5,203,104
Shoaib Malik (ICC/PAK),2006-2021,124,111,33,2435,75,31.21,1938,125.64,0,9,2,196,69
A Balbirnie (IRE),2015-2024,110,106,4,2392,83,23.45,1941,123.23,0,12,6,254,68
Sikandar Raza (ZIM),2013-2024,102,97,7,2347,133*,26.07,1711,137.17,1,14,7,176,115
Syed Aziz (MAS),2019-2024,90,88,15,2283,126,31.27,1589,143.67,1,17,6,215,112
N Pooran (WI),2016-2024,106,97,10,2275,98,26.14,1668,136.39,0,13,3,152,149
RR Hendricks (SA),2014-2024,78,77,2,2271,117,30.28,1724,131.72,1,17,5,250,63
KL Rahul (IND),2016-2022,72,68,8,2265,110*,37.75,1628,139.12,2,22,5,191,99
Mohammad Nabi (AFG),2010-2024,132,124,25,2237,89,22.59,1642,136.23,0,6,8,156,109
RD Berrington (SCOT),2008-2024,97,88,17,2230,100,31.40,1696,131.48,1,10,10,189,76
S Ssesazi (UGA),2021-2024,88,86,10,2204,100*,29.00,1789,123.19,1,17,8,237,73
BB McCullum (NZ),2005-2015,71,70,10,2140,123,35.66,1571,136.21,2,13,3,199,91
HG Munsey (SCOT),2015-2024,74,72,5,2078,132,31.01,1441,144.20,2,11,5,233,93
AD Hales (ENG),2011-2022,75,75,8,2074,116*,30.95,1499,138.35,1,12,5,225,70
MDKJ Perera (SL),2013-2025,77,76,3,2056,101,28.16,1533,134.11,1,15,4,199,65
Nizakat Khan (HKG),2014-2024,99,96,6,2053,81,22.81,1669,123.00,0,10,8,169,68
Mohammad Shahzad (AFG),2010-2023,73,73,3,2048,118*,29.25,1550,132.12,1,12,4,229,76
MP O'Dowd (NED),2015-2024,77,75,5,2034,133*,29.05,1687,120.56,1,14,1,209,49
Litton Das (BAN),2015-2024,95,93,3,2020,83,22.44,1619,124.76,0,11,6,210,58
KJ O'Brien (IRE),2008-2021,110,103,10,1973,124,21.21,1507,130.92,1,5,12,165,82
JP Duminy (SA),2007-2019,81,75,25,1934,96*,38.68,1532,126.24,0,11,6,138,71
GD Phillips (NZ),2017-2025,83,74,12,1929,108,31.11,1372,140.59,2,10,3,138,91
BKG Mendis (SL),2016-2025,78,78,3,1920,86,25.60,1458,131.68,0,15,6,165,82
Babar Hayat (HKG),2014-2024,79,75,10,1910,122,29.38,1444,132.27,2,10,7,117,119
LRPL Taylor (NZ),2006-2020,102,94,21,1909,63,26.15,1560,122.37,0,7,6,121,71
R Sandaruwan (KUW),2019-2024,71,71,3,1907,103,28.04,1299,146.80,2,11,7,164,111
CH Gayle (WI),2006-2021,79,75,7,1899,117,27.92,1381,137.50,2,14,4,158,124
DJ Malan (ENG),2017-2023,62,60,8,1892,103*,36.38,1428,132.49,1,16,2,194,62
TM Dilshan (SL),2006-2016,80,79,12,1889,104*,28.19,1567,120.54,1,13,10,223,33
Fakhar Zaman (PAK),2017-2024,92,84,3,1848,91,22.81,1390,132.94,0,11,6,172,76
Najibullah Zadran (AFG),2012-2024,107,95,33,1830,73,29.51,1328,137.80,0,8,6,126,97
Muhammad Tanveer (QAT),2019-2024,61,57,16,1781,88*,43.43,1305,136.47,0,13,2,129,101
S Dhawan (IND),2011-2021,68,66,3,1759,92,27.92,1392,126.36,0,11,2,191,50
Tamim Iqbal (BAN/ICC/World),2007-2020,78,78,5,1758,103*,24.08,1503,116.96,1,7,6,188,45
R Powell (WI),2017-2024,91,79,11,1747,107,25.69,1245,140.32,1,8,2,99,117
CO Obuya (KENYA),2007-2024,75,70,12,1742,96*,30.03,1460,119.31,0,9,6,127,84
P Nissanka (SL),2021-2025,62,61,3,1734,90,29.89,1440,120.41,0,14,5,182,41
DS Airee (NEP),2018-2024,74,65,15,1725,110*,34.50,1203,143.39,1,9,0,132,72
C Munro (NZ),2012-2020,65,62,7,1724,109*,31.34,1102,156.44,3,11,5,132,107
HH Pandya (IND),2016-2024,109,85,24,1700,71*,27.86,1198,141.90,0,4,3,129,88
SC Williams (ZIM),2006-2024,81,80,8,1691,66,23.48,1338,126.38,0,11,6,161,42
Umar Akmal (PAK),2009-2019,84,79,14,1690,94,26.00,1377,122.73,0,8,10,122,55
Rahmanullah Gurbaz (AFG),2019-2024,66,66,0,1683,100,25.50,1252,134.42,1,10,8,128,95
AB de Villiers (SA),2006-2017,78,75,11,1672,79*,26.12,1237,135.16,0,10,5,140,60
JM Bairstow (ENG),2011-2024,80,72,16,1671,90,29.83,1215,137.53,0,10,6,148,76
H Masakadza (ZIM),2006-2019,66,66,2,1662,93*,25.96,1418,117.20,0,11,1,151,65
E Lewis (WI),2016-2024,61,60,4,1643,125*,29.33,1081,151.98,2,12,5,125,124
TP Ura (PNG),2015-2024,60,59,8,1634,107*,32.03,1068,152.99,1,14,4,123,95
MR Marsh (AUS),2011-2024,65,62,11,1629,92*,31.94,1203,135.41,0,9,2,139,76
RR Patel (KENYA),2008-2024,82,70,16,1624,120,30.07,1155,140.60,1,8,3,125,94
MS Chapman (HKG/NZ),2014-2025,81,73,14,1617,104*,27.40,1226,131.89,1,8,3,136,60
MS Dhoni (IND),2006-2019,98,85,42,1617,56,37.60,1282,126.13,0,2,1,116,52
MN Samuels (WI),2007-2018,67,65,10,1611,89*,29.29,1386,116.23,0,10,0,144,69
SK Raina (IND),2006-2018,78,66,11,1605,101,29.18,1190,134.87,1,5,3,145,58
Ahmed Faiz (MAS),2019-2024,81,69,6,1590,105*,25.23,1286,123.63,1,6,5,124,60
Meet Bhavsar (KUW),2019-2024,65,63,7,1588,89,28.35,1226,129.52,0,12,4,132,52
KA Pollard (WI),2008-2022,101,83,21,1569,75*,25.30,1161,135.14,0,6,3,94,99
MG Erasmus (NAM),2019-2024,65,63,15,1557,100*,32.43,1254,124.16,1,11,3,124,56
F du Plessis (SA/World),2012-2020,50,50,7,1528,119,35.53,1137,134.38,1,10,0,140,50
LMP Simmons (WI),2007-2021,68,67,10,1527,91*,26.78,1264,120.80,0,9,6,140,68
JJ Roy (ENG),2014-2022,64,64,1,1522,78,24.15,1106,137.61,0,8,7,153,69
Mushfiqur Rahim (BAN),2006-2022,102,93,16,1500,72*,19.48,1304,115.03,0,6,8,126,37
BA King (WI),2019-2024,63,61,5,1499,85*,26.76,1118,134.07,0,11,5,165,62
KJ Coetzer (SCOT),2008-2021,70,68,2,1495,89,22.65,1254,119.21,0,6,4,158,48
DPMD Jayawardene (SL),2006-2014,55,55,8,1493,100,31.76,1121,133.18,1,9,4,173,33
Riazat Ali Shah (UGA),2019-2024,72,63,17,1484,98*,32.26,1232,120.45,0,4,4,108,63
Ahmed Shehzad (PAK),2009-2019,59,59,2,1471,111*,25.80,1282,114.74,1,7,2,157,33
Soumya Sarkar (BAN),2015-2024,87,86,4,1462,68,17.82,1197,122.13,0,5,13,145,55
SR Watson (AUS),2006-2016,58,56,6,1462,124*,29.24,1006,145.32,1,10,3,115,83
MD Shanaka (SL),2015-2024,102,94,20,1456,74*,19.67,1189,122.45,0,5,13,107,72
CR Ervine (ZIM),2010-2024,71,70,4,1449,70,21.95,1370,105.76,0,9,5,143,30
II Selemani (TAN),2021-2024,63,62,4,1426,81,24.58,963,148.07,0,7,6,158,78
K Kadowaki-Fleming (JPN),2022-2024,35,35,4,1420,114,45.80,931,152.52,2,9,0,107,76
AD Mathews (SL),2009-2024,90,73,22,1416,81*,27.76,1175,120.51,0,6,1,92,50
Shahid Afridi (ICC/PAK),2006-2018,99,91,12,1416,54*,17.92,944,150.00,0,4,8,103,73
DJ Mitchell (NZ),2019-2025,70,66,13,1411,72*,26.62,1013,139.28,0,8,2,98,54
DP Conway (NZ),2020-2024,50,46,9,1408,99*,38.05,1102,127.76,0,10,1,135,37
Haider Butt (BHR),2021-2024,63,59,14,1408,79*,31.28,1161,121.27,0,8,2,92,62
Faisal Khan (KSA),2019-2024,49,49,5,1402,101,31.86,815,172.02,1,7,4,150,81
Asghar Afghan (AFG),2010-2021,75,68,5,1382,62,21.93,1247,110.82,0,4,5,87,69
KC Sangakkara (SL),2006-2014,56,53,9,1382,78,31.40,1156,119.55,0,8,2,139,20
HT Tector (IRE),2019-2024,81,75,13,1377,64*,22.20,1160,118.70,0,5,5,110,33
Zeeshan Maqsood (OMA),2015-2024,73,62,10,1369,102*,26.32,1149,119.14,1,5,4,137,49
AK Markram (SA),2019-2024,57,53,8,1367,70,30.37,950,143.89,0,9,2,123,56
J Charles (WI),2011-2024,60,59,0,1359,118,23.03,1034,131.43,1,5,7,148,63
Sami Sohail (MWI),2019-2024,46,42,18,1347,94*,56.12,1092,123.35,0,9,3,109,35
Aqib Ilyas (OMA),2015-2024,56,55,7,1330,90,27.70,1092,121.79,0,10,4,125,44
RP Burl (ZIM),2018-2024,87,79,25,1327,61,24.57,1115,119.01,0,3,2,86,56
O Tuyisenge (RWN),2021-2024,85,81,4,1323,100*,17.18,1271,104.09,1,3,11,131,32
K Motlhanka (BOT),2019-2024,53,51,5,1317,84,28.63,1214,108.48,0,8,2,143,25
LJ Tucker (IRE),2016-2024,74,70,8,1317,94*,21.24,1068,123.31,0,9,7,128,29
RK Paudel (NEP),2019-2024,59,56,10,1310,61,28.47,1073,122.08,0,7,1,105,41
K Bhurtel (NEP),2021-2024,53,52,6,1298,104*,28.21,1009,128.64,1,9,5,124,56
IA Karim (KENYA),2013-2024,64,54,17,1291,71*,34.89,1287,100.31,0,8,2,113,15
TL Seifert (NZ),2018-2024,61,58,7,1291,88,25.31,958,134.75,0,9,5,111,58
JW Jenner (JER),2019-2024,50,50,9,1288,96*,31.41,932,138.19,0,7,4,104,51
HM Amla (SA/World),2009-2018,44,44,6,1277,97*,33.60,967,132.05,0,8,2,146,26
A Vala (PNG),2015-2024,63,60,9,1274,93*,24.98,1093,116.55,0,8,1,116,38
GC Wilson (IRE),2008-2020,81,68,8,1268,65*,21.13,1212,104.62,0,3,4,108,20
Jatinder Singh (OMA),2015-2024,61,61,7,1263,73*,23.38,1088,116.08,0,6,4,128,25
HE van der Dussen (SA),2018-2024,50,46,9,1257,94*,33.97,971,129.45,0,9,2,73,60
AR Patwa (TAN),2021-2024,52,52,5,1256,79,26.72,1034,121.47,0,6,3,149,39
DJ Bravo (WI),2006-2021,91,74,17,1255,66*,22.01,1091,115.03,0,4,5,73,55
Abdul Waheed (KSA),2020-2024,48,45,7,1251,110,32.92,992,126.10,1,5,1,125,37
MH Cross (SCOT),2013-2024,76,64,10,1250,66*,23.14,1079,115.84,0,5,5,118,32
KIC Asalanka (SL),2021-2025,58,57,6,1247,80*,24.45,970,128.55,0,6,7,85,60
Aasif Sheikh (NEP),2021-2024,54,54,2,1245,64*,23.94,1078,115.49,0,6,3,122,42
MP Stoinis (AUS),2015-2024,74,61,22,1245,78,31.92,838,148.56,0,5,2,99,63
BN Cooper (NED),2013-2021,58,55,11,1239,91*,28.15,993,124.77,0,9,7,118,38
CS MacLeod (SCOT),2009-2022,64,61,9,1238,74,23.80,1115,111.03,0,7,8,107,23
MM Ali (ENG),2014-2024,92,75,17,1229,72*,21.18,863,142.41,0,7,9,88,68
RR Pant (IND),2017-2024,76,66,14,1209,65*,23.25,950,127.26,0,3,4,111,44
VP Thamotharam (MLT),2020-2024,55,53,8,1209,104*,26.86,825,146.54,1,7,2,86,73
NLTC Perera (ICC/SL/World),2010-2021,84,74,22,1204,61,23.15,794,151.63,0,3,8,88,64
MS Wade (AUS),2011-2024,92,68,22,1202,80,26.13,896,134.15,0,3,1,95,46
TH David (AUS/SGP),2019-2024,54,48,12,1201,92*,33.36,745,161.20,0,6,4,100,65
R Satheesan (ROM),2019-2023,38,36,5,1197,99*,38.61,770,155.45,0,9,2,121,61
W Madhevere (ZIM),2020-2024,73,68,7,1194,73*,19.57,1028,116.14,0,7,6,133,16
RG Mukasa (UGA),2019-2024,58,56,5,1186,89,23.25,982,120.77,0,5,8,133,36
